student, 2018-09-26/01, 2018-10-03/01, 2018-10-03/02, 2018-10-10/02, 2018-10-17/03, 2018-10-24/03, 2018-10-24/04, 2018-10-31/04, 2018-10-31/05, 2018-11-07/05, 2018-11-07/06, 2018-11-14/06, 2018-11-14/07, 2018-11-21/07
151, 0, 1.5, 2, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0
111, 2, 0, 0, 1.5, 0, 1.5, 0, 1.5, 2, 0, 2, 0, 0, 0
176, 2, 0, 0, 1.5, 2, 0, 2, 0, 0, 1.5, 2, 0, 0, 0
257, 0, 1.5, 2, 0, 0, 1.5, 0, 1.5, 2, 0, 0, 0, 0, 0
190, 0, 1.5, 0, 1.5, 0, 1.5, 0, 0, 0, 1.5, 2, 0, 0, 0
152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
238, 2, 0, 0, 1.5, 0, 0, 2, 0, 0, 1.5, 2, 0, 0, 0
187, 2, 0, 2, 0, 0, 1.5, 0, 0, 2, 0, 2, 0, 0, 0
200, 0, 1.5, 0, 1.5, 0, 1.5, 2, 0, 2, 0, 2, 0, 0, 0
155, 2, 0, 2, 0, 2, 0, 2, 0, 0, 1.5, 2, 0, 0, 0
154, 2, 0, 0, 1.5, 0, 1.5, 2, 0, 2, 0, 0, 0, 0, 0
277, 0, 1.5, 0, 0, 0, 0, 0, 1.5, 0, 1.5, 0, 0, 0, 0
168, 0, 0, 0, 1.5, 0, 0, 2, 0, 0, 1.5, 2, 0, 0, 0
208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
266, 0, 1.5, 0, 1.5, 0, 1.5, 0, 0, 2, 0, 0, 0, 0, 0
296, 0, 0, 0, 0, 0, 0, 0, 1.5, 0, 0, 2, 0, 0, 0
280, 2, 0, 0, 1.5, 2, 0, 2, 0, 2, 0, 2, 0, 0, 0
192, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2, 0, 0, 0
157, 2, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2, 0, 0, 0
131, 0, 0, 0, 1.5, 0, 1.5, 2, 0, 2, 0, 2, 0, 0, 0
129, 0, 0, 0, 1.5, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0
127, 2, 0, 2, 0, 0, 1.5, 2, 0, 0, 1.5, 2, 0, 0, 0
205, 2, 0, 0, 1.5, 0, 1.5, 0, 1.5, 0, 1.5, 2, 0, 0, 0
259, 2, 0, 0, 0, 0, 1.5, 2, 0, 2, 0, 2, 0, 0, 0
267, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
234, 0, 1.5, 0, 0, 0, 0, 2, 0, 0, 1.5, 2, 0, 0, 0
143, 2, 0, 0, 1.5, 0, 1.5, 0, 1.5, 0, 1.5, 2, 0, 0, 0
120, 2, 0, 0, 1.5, 0, 1.5, 2, 0, 2, 0, 2, 0, 0, 0
203, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0
140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
107, 2, 0, 0, 1.5, 0, 1.5, 2, 0, 0, 1.5, 0, 0, 0, 0
221, 2, 0, 2, 0, 0, 0, 0, 1.5, 2, 0, 2, 0, 0, 0
272, 0, 1.5, 0, 0, 0, 1.5, 2, 0, 0, 1.5, 2, 0, 0, 0
119, 2, 0, 2, 0, 2, 0, 2, 0, 0, 1.5, 2, 0, 0, 0
138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
241, 0, 1.5, 0, 0, 0, 0, 2, 0, 2, 0, 2, 0, 0, 0
248, 0, 1.5, 0, 1.5, 0, 1.5, 0, 0, 0, 0, 2, 0, 0, 0
265, 0, 0, 0, 0, 0, 1.5, 2, 0, 0, 1.5, 2, 0, 0, 0
273, 2, 0, 0, 0, 0, 1.5, 2, 0, 2, 0, 2, 0, 0, 0
281, 0, 1.5, 0, 0, 0, 1.5, 2, 0, 2, 0, 2, 0, 0, 0
243, 2, 0, 0, 1.5, 2, 0, 2, 0, 2, 0, 2, 0, 0, 0
105, 2, 0, 0, 1.5, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0
235, 0, 1.5, 0, 1.5, 0, 0, 0, 1.5, 0, 0, 0, 0, 0, 0
121, 2, 0, 0, 1.5, 0, 0, 2, 0, 0, 1.5, 2, 0, 0, 0
135, 0, 1.5, 0, 0, 0, 1.5, 0, 1.5, 0, 1.5, 2, 0, 0, 0
271, 2, 0, 0, 0, 2, 0, 2, 0, 2, 0, 2, 0, 0, 0
132, 0, 1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
196, 2, 0, 0, 0, 0, 1.5, 2, 0, 0, 1.5, 0, 0, 0, 0
201, 0, 0, 0, 0, 2, 0, 0, 1.5, 2, 0, 2, 0, 0, 0
169, 0, 1.5, 0, 0, 0, 1.5, 0, 1.5, 0, 1.5, 2, 0, 0, 0
193, 0, 1.5, 2, 0, 0, 0, 2, 0, 0, 1.5, 2, 0, 0, 0
186, 0, 1.5, 0, 1.5, 0, 1.5, 2, 0, 0, 1.5, 0, 0, 0, 0
122, 2, 0, 0, 0, 0, 0, 2, 0, 0, 1.5, 2, 0, 0, 0
153, 2, 0, 0, 1.5, 0, 0, 0, 1.5, 2, 0, 2, 0, 0, 0
115, 2, 0, 0, 1.5, 0, 1.5, 2, 0, 2, 0, 0, 0, 0, 0
270, 0, 1.5, 0, 1.5, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0
297, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
164, 2, 0, 0, 1.5, 0, 1.5, 2, 0, 0, 0, 0, 0, 0, 0
254, 2, 0, 2, 0, 0, 0, 0, 1.5, 0, 1.5, 2, 0, 0, 0
188, 2, 0, 0, 1.5, 0, 1.5, 2, 0, 2, 0, 0, 0, 0, 0
130, 2, 0, 0, 1.5, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0
275, 0, 1.5, 0, 1.5, 0, 0, 2, 0, 0, 1.5, 0, 0, 0, 0
283, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 0, 0, 0, 0
217, 2, 0, 0, 1.5, 2, 0, 0, 1.5, 0, 0, 2, 0, 0, 0
156, 2, 0, 0, 1.5, 0, 0, 2, 0, 0, 1.5, 2, 0, 0, 0
209, 0, 1.5, 0, 1.5, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0
260, 0, 1.5, 0, 1.5, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0
133, 2, 0, 0, 1.5, 0, 0, 2, 0, 0, 1.5, 2, 0, 0, 0
128, 2, 0, 2, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0
247, 2, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2, 0, 0, 0
158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
